name,domain,kind
neuromorphic transistor,Роботы,off_topic
robot actuator,Роботы,mature
multi-agent learning,Роботы,mature
brain chips,Роботы,off_topic
autonomous inspection,Роботы,too_broad
visual ai,Роботы,too_broad
open-source robot,Роботы,too_broad
robotics actuators,Роботы,mature
stretchable piezoelectric sensing,Роботы,borderline
servo robot,Роботы,mature
synergetic control,Роботы,mature
textile-based sensor,Роботы,off_topic
soft robotic grippers,Роботы,mature
robotic wheelchair,Роботы,mature
soft robot gripper,Роботы,mature
multi-resolution image analysis,Роботы,mature
differential drive,Роботы,mature
robotic wheelchairs,Роботы,mature
shared autonomy with haptic feedback,Роботы,borderline
actuator supplier,Роботы,not_a_technology
robot swarm,Роботы,weak_signal
digital threads,Роботы,off_topic
end-to-end optimization,Роботы,not_a_technology
lower-limb robotic exoskeleton,Роботы,mature
bimanual manipulation,Роботы,borderline
curved image sensor,Роботы,off_topic
modular robots,Роботы,mature
high-nickel cathode,Роботы,off_topic
robot swarms,Роботы,weak_signal
soft robotic gripper,Роботы,mature
autonomous sailboat,Роботы,mature
japanese encephalitis vaccine,Роботы,off_topic
brain wave reading,Роботы,off_topic
socket preparation,Роботы,off_topic
bio-cooperative control,Роботы,borderline
safe remote immersive teleoperation,Роботы,borderline
robot grippers,Роботы,mature
robotic prosthesis,Роботы,mature
tiago mo,Роботы,product
curved image sensors,Роботы,off_topic
health benefits brokerage,Роботы,off_topic
behavioral biometrics,Роботы,off_topic
optimus robot,Роботы,product
humanoid robot safety standard,Роботы,not_a_technology
upper-limb exoskeleton,Роботы,mature
autonomous refueling,Роботы,mature
hinas control,Роботы,not_a_technology
robotic-assisted thoracic surgery,Роботы,off_topic
ros-based all-terrain inspection robot,Роботы,mature
embodied ai,Роботы,too_broad
refined quadruple neutrosophic logic,Роботы,not_a_technology
single and dual-arm harvesting,Роботы,mature
synucleinopathy eradication,Роботы,off_topic
xxluuv mothership,Роботы,product
athenazero robot,Роботы,product
cobot,Роботы,mature
millimeter-wave radar,Роботы,mature
odyssey-3 world model,Роботы,product
on-device inference accelerator,Роботы,off_topic
humanoid robot firefighting,Роботы,borderline
jennifer robotic arms,Роботы,product
power inverter,Роботы,off_topic
self-driving atv,Роботы,mature
autonomous minefield breaching,Роботы,borderline
optimus,Роботы,product
robotic hand training data collection,Роботы,borderline
ai agent training on video game data,Роботы,borderline
robotic exoskeleton ai,Роботы,too_broad
material understanding ai,Роботы,not_a_technology
future-aware action control ai,Роботы,not_a_technology
image-based navigation ai,Роботы,mature
drone swarms,Роботы,borderline
robot training data collection,Роботы,borderline
shape adaptation in robotic grippers,Роботы,not_a_technology
uniform force distribution in grippers,Роботы,not_a_technology
self-locking capabilities in grippers,Роботы,not_a_technology
ai-powered restaurant factory,Роботы,not_a_technology
autonomous vehicle control ai agents,Роботы,too_broad
hybrid cnn–lstm model,Роботы,mature
metalens,Роботы,off_topic
robotic exoskeleton,Роботы,mature
power inverters,Роботы,off_topic
blockchain-based distributed secure multi-party computation,Финтех,off_topic
formal verification of secure multi-party computation protocols,Финтех,off_topic
tokenized equities,Финтех,weak_signal
digital trade finance,Финтех,too_broad
merkle tree certificate,Финтех,borderline
merkle tree certificates,Финтех,borderline
ai-driven alpha,Финтех,not_a_technology
ai-powered identity verification,Финтех,mature
explanable ai,Финтех,mature
post-quantum security architecture,Финтех,too_broad
digital fraud prevention,Финтех,mature
post-quantum cryptographic library,Финтех,too_broad
real-time budget monitoring,Финтех,mature
ai fraud detection,Финтех,mature
distributed secure multi-party computation,Финтех,mature
real estate underwriting,Финтех,not_a_technology
cyber-enabled fraud,Финтех,not_a_technology
formal modeling and verification,Финтех,off_topic
post-quantum blockchain,Финтех,weak_signal
mobile money adoption,Финтех,not_a_technology
ai agentic detection,Финтех,product
pqxdh,Финтех,off_topic
adversarial ml,Финтех,mature
blockchain payments,Финтех,mature
tokenized bonds,Финтех,weak_signal
privacy-preserving protocols,Финтех,too_broad
comorbidity analysis,Финтех,off_topic
digital id wallet,Финтех,borderline
tokenised deposits,Финтех,weak_signal
ai-assisted compliance,Финтех,too_broad
ai-driven financial inclusion,Финтех,not_a_technology
quantum cybersecurity,Финтех,too_broad
temporal logic specification,Финтех,off_topic
blind quantum computing,Финтех,off_topic
gsnr estimation,Финтех,off_topic
blockchain-based protocol,Финтех,too_broad
ai force,Финтех,not_a_technology
digital fraud detection,Финтех,mature
payment integrity,Финтех,not_a_technology
ai-enabled fraud detection,Финтех,mature
credit scoring models,Финтех,mature
quantum resistant cryptography algorithm,Финтех,borderline
secure multi-party computation protocols,Финтех,mature
formal verification of security protocols,Финтех,mature
verifiably encrypted signature,Финтех,mature
quantum-safe security,Финтех,too_broad
real-time underwriting,Финтех,too_broad
on-chain commodity trading,Финтех,borderline
quantum computer-based attacks,Финтех,not_a_technology
e-kyc,Финтех,mature
post-quantum computing,Финтех,too_broad
ai anomaly detection,Финтех,mature
digital identity wallet,Финтех,borderline
quantum-resistant cryptographic algorithms,Финтех,borderline
conversational virtual assistants,Финтех,mature
privacy-preserving data integration,Финтех,too_broad
biometric liveness detection,Финтех,mature
regulatory governance,Финтех,not_a_technology
software automation,Финтех,too_broad
blockchain threat detection,Финтех,too_broad
graph-based machine learning,Финтех,mature
ai-powered fraud detection,Финтех,mature
digital identity credentials,Финтех,borderline
compliance intelligence,Финтех,too_broad
electronic know your customer,Финтех,mature
instant payments,Финтех,mature
secure customer onboarding,Финтех,mature
ai compliance,Финтех,too_broad
ai-enabled attacks,Финтех,not_a_technology
blockchain ledger,Финтех,mature
decentralized federated learning,Финтех,off_topic
quantum readiness,Финтех,not_a_technology
digital identity management,Финтех,mature
grover’s algorithm,Финтех,off_topic
privacy-preserving federated learning,Финтех,borderline
ai-powered cyber threats,Финтех,not_a_technology
on-device inference,Финтех,off_topic
governed ai,Финтех,too_broad
grover's algorithm,Финтех,off_topic
ai oversight,Финтех,not_a_technology
real-time fraud prevention,Финтех,mature
system-level optimization,Финтех,not_a_technology
ai-driven fraud detection,Финтех,mature
cross-border payment,Финтех,mature
document checks,Финтех,not_a_technology
eudi standards,Финтех,not_a_technology
ai insurance fraud detection,Финтех,mature
ai-generated hr policies,Финтех,off_topic
verifiable credentials,Финтех,borderline
evo digital id wallet,Финтех,product
on-device inference accelerator,Финтех,off_topic
background screening,Финтех,not_a_technology
index containing cryptocurrency,Финтех,not_a_technology
ai underwriting agents,Финтех,weak_signal
document ai,Финтех,mature
quantum-resistant hybrid key exchange,Финтех,borderline
embedded identity sdk,Финтех,product
post-quantum testing,Финтех,not_a_technology
ai assistant for merchants,Финтех,too_broad
real-time finance,Финтех,too_broad
tokenized cross-border payments,Финтех,weak_signal
blockchain settlement network,Финтех,borderline
blockchain-based secure multi-party computation protocol,Финтех,off_topic
tokenization of central bank reserves,Финтех,weak_signal
ai regulation,Финтех,not_a_technology
ai-driven technology holding,Финтех,not_a_technology
quantum resistant cryptography,Финтех,borderline
tax-ready financial reporting,Финтех,not_a_technology
credit card fraud detection,Финтех,mature
predictive threat analysis,Финтех,too_broad
tokuryu fraud,Финтех,not_a_technology
behavioral signals,Финтех,not_a_technology
sovereign ai,Финтех,off_topic
embedded frontier ai evaluation,Финтех,not_a_technology
symbolic execution,Финтех,off_topic
cloud accounting,Финтех,mature
hardware security module,Финтех,mature
on-chain decision logs,Финтех,borderline
ai-powered credit scoring,Финтех,mature
quantum-resistant cryptography,Финтех,borderline
secure multi-party computation,Финтех,mature
cyber-resilience,Финтех,too_broad
signal protocol,Финтех,mature
decentralized finance,Финтех,mature
regulatory sandbox,Финтех,not_a_technology
robo-advisor,Финтех,mature
decentralized identity,Финтех,borderline
cryptographic security,Финтех,too_broad
autonomous ai agents,Финтех,too_broad
